排序组合序号,组合e_d_pct,组合e_ab_pct,组合e_bc_pct,代码,买入日,卖出日,卖出相对日,档位,买入价,卖出价,收益率_pct,平仓原因,平仓价来源
1,-0.46,2.43,7.0,000063.SZ,20251202,20251203,D1,B,46.3369,43.3,-6.554,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,000065.SZ,20260325,20260326,D1,A,14.5,13.88,-4.2759,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,000066.SZ,20260122,20260123,D1,C,18.816,18.29,-2.7955,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,000070.SZ,20251124,20251125,D1,B,10.67,12.1,13.4021,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,000155.SZ,20260403,20260406,D1,D,16.37,16.24,-0.7941,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,000426.SZ,20260409,20260410,D1,D,43.15,43.3,0.3476,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,000505.SZ,20251121,20251125,D2,A,7.7,8.83,14.6753,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,000506.SZ,20260127,20260128,D1,A,21.4,25.1,17.2897,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,000510.SZ,20260303,20260304,D1,B,22.7077,19.83,-12.6728,开盘触及止损(-7%),开盘
1,-0.46,2.43,7.0,000533.SZ,20260205,20260206,D1,A,11.2,11.25,0.4464,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,000534.SZ,20251107,20251110,D1,A,21.0,22.83,8.7143,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,000559.SZ,20251226,20251231,D3,A,13.5,16.59,22.8889,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,000572.SZ,20260318,20260319,D1,D,6.78,6.3,-7.0796,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,000592.SZ,20251114,20251117,D1,A,9.98,11.97,19.9399,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,000617.SZ,20260320,20260323,D1,D,10.5,9.7,-7.619,开盘触及止损(-7%),开盘
1,-0.46,2.43,7.0,000620.SZ,20251118,20251119,D1,B,3.9576,3.43,-13.3313,开盘触及止损(-7%),开盘
1,-0.46,2.43,7.0,000681.SZ,20251124,20251125,D1,B,26.19,25.02,-4.4674,开盘触及止损(-7%),开盘
1,-0.46,2.43,7.0,000688.SZ,20251112,20251114,D2,D,22.7128,24.9262,9.7452,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,000703.SZ,20260324,20260326,D2,B,11.9213,12.59,5.6093,收盘转弱(≤前日收盘),收盘
1,-0.46,2.43,7.0,000803.SZ,20251110,20251111,D1,C,7.8336,7.93,1.2306,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,000818.SZ,20260202,20260203,D1,A,22.48,21.98,-2.2242,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,000880.SZ,20260123,20260126,D1,B,36.86,36.96,0.2713,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,000892.SZ,20251124,20251126,D2,B,7.469,8.78,17.5526,开盘触及止盈(+7%),开盘
1,-0.46,2.43,7.0,001203.SZ,20260122,20260126,D2,B,30.9527,32.42,4.7405,收盘转弱(≤前日收盘),收盘
1,-0.46,2.43,7.0,001208.SZ,20260109,20260112,D1,C,30.0,31.05,3.5,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,001217.SZ,20251106,20251107,D1,A,14.17,14.11,-0.4234,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,001287.SZ,20260319,20260323,D2,A,24.65,24.68,0.1217,收盘转弱(≤前日收盘),收盘
1,-0.46,2.43,7.0,001332.SZ,20251117,20251118,D1,A,59.8,59.58,-0.3679,D1收盘弱于D0开盘+0.5%,收盘
1,-0.46,2.43,7.0,001339.SZ,20260227,20260304,D3,A,60.0,65.27,8.7833,D3收盘到期,收盘
