策略,样本,胜率,盈亏比,单笔平均收益,总收益_线性,净值_顺序复利,未成交数
扩展网格_止损-7|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值0(可成交),93,0.516129,1.776100,0.018397,1.710889,4.135564,0
扩展网格_止损-7|止盈7|强势阈值0.5|强势参考d0|最多D3|转弱阈值0(可成交),93,0.505376,1.834615,0.018072,1.680726,3.997447,0
扩展网格_止损-7|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.516129,1.752402,0.017877,1.662541,3.948481,0
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.537634,1.611176,0.017860,1.660990,3.942698,0
扩展网格_止损-7|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.505376,1.802628,0.017759,1.651629,3.892956,0
扩展网格_止损-7|止盈7|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.505376,1.815685,0.017673,1.643554,3.856944,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.526882,1.664311,0.017536,1.630827,3.811023,0
扩展网格_止损-7|止盈7|强势阈值0.5|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.494624,1.862176,0.017435,1.621466,3.762942,0
扩展网格_止损-7|止盈7|强势阈值0.5|强势参考d0|最多D4|转弱阈值0(可成交),93,0.494624,1.877976,0.017361,1.614551,3.764640,0
扩展网格_止损-7|止盈7|强势阈值0.5|强势参考d0|最多D5|转弱阈值0(可成交),93,0.494624,1.877056,0.017342,1.612817,3.758619,0
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.537634,1.589311,0.017340,1.612643,3.764340,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.526882,1.653872,0.017297,1.608613,3.747594,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.526882,1.653057,0.017278,1.606879,3.741600,0
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.526882,1.635186,0.017223,1.601731,3.711404,0
扩展网格_止损-7|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.494624,1.819277,0.017178,1.597557,3.672722,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.526882,1.646843,0.017136,1.593655,3.677072,0
"动态强势_日涨幅<1%则卖(最多D5,可成交)",93,0.494624,1.899390,0.017088,1.589143,3.355642,0
