止损,强势阈值,兑现阈值,样本数,胜率,单笔平均收益,盈亏比,总收益_线性,净值_顺序复利
-6%,1%,6%,190,0.489474,0.009435,1.446454,1.792578,3.597903
-6%,0%,6%,190,0.463158,0.009395,1.586708,1.784965,3.526474
-5%,0%,6%,190,0.452632,0.008973,1.629161,1.704862,3.255853
-5%,1%,6%,190,0.473684,0.008759,1.500261,1.664275,3.162134
-6%,0%,8%,190,0.442105,0.008533,1.671617,1.621320,2.904525
-6%,0%,10%,190,0.436842,0.008517,1.704813,1.618305,2.831235
-5%,0%,8%,190,0.431579,0.008112,1.717780,1.541217,2.681632
-5%,0%,10%,190,0.426316,0.008096,1.752238,1.538202,2.613966
-6%,1%,8%,190,0.468421,0.008043,1.496930,1.528262,2.694042
-6%,1%,10%,190,0.463158,0.008028,1.526243,1.525247,2.626063
-4%,0%,6%,190,0.436842,0.007674,1.661106,1.458106,2.542104
-4%,1%,6%,190,0.457895,0.007461,1.526740,1.417519,2.468930
-5%,1%,8%,190,0.452632,0.007368,1.554298,1.399959,2.367746
-5%,1%,10%,190,0.447368,0.007352,1.585126,1.396944,2.308000
-4%,0%,8%,190,0.415789,0.006813,1.754225,1.294461,2.093764
-4%,0%,10%,190,0.410526,0.006797,1.790154,1.291446,2.040932
-4%,1%,8%,190,0.436842,0.006069,1.583516,1.153202,1.848688
-4%,1%,10%,190,0.431579,0.006054,1.615512,1.150187,1.802040
