代码,开仓日,D0开盘_买入价,触发规则,信号D,信号日开盘,信号日收盘,信号口径,成交D,卖出价_可成交,若信号日即成交,单笔收益率,单笔收益率pct
000063.SZ,20251202,47.77,D1收盘不强,1,45.0,43.3,close,1,43.3,是,-0.093573,-9.3573
000066.SZ,20260122,19.6,D1收盘不强,1,18.8,18.29,close,1,18.29,是,-0.066837,-6.6837
000426.SZ,20260409,43.15,D1收盘不强,1,43.71,43.3,close,1,43.3,是,0.003476,0.3476
000506.SZ,20260127,21.4,D1开盘止盈,1,25.1,25.93,open,1,25.1,是,0.172897,17.2897
000510.SZ,20260303,23.41,D1开盘止损,1,19.83,20.24,open,1,19.83,是,-0.152926,-15.2926
000533.SZ,20260205,11.2,D1收盘不强,1,10.51,11.25,close,1,11.25,是,0.004464,0.4464
000534.SZ,20251107,21.0,D1开盘止盈,1,22.83,22.54,open,1,22.83,是,0.087143,8.7143
000559.SZ,20251226,13.5,D3开盘止盈,3,16.59,17.2,open,3,16.59,是,0.228889,22.8889
000592.SZ,20251114,9.98,D1开盘止盈,1,11.97,11.97,open,1,11.97,是,0.199399,19.9399
000603.SZ,20260126,56.49,D2开盘止盈,2,62.79,67.28,open,2,62.79,是,0.111524,11.1524
000657.SZ,20260417,53.5,D2开盘止盈,2,58.0,57.81,open,2,58.0,是,0.084112,8.4112
000688.SZ,20251112,22.7128,D2开盘止盈,2,24.9262,25.1456,open,2,24.9262,是,0.097452,9.7452
000799.SZ,20260130,58.25,D2收盘转弱,2,56.95,57.85,close,2,57.85,是,-0.006867,-0.6867
000803.SZ,20251110,8.16,D1收盘不强,1,7.61,7.93,close,1,7.93,是,-0.028186,-2.8186
000880.SZ,20260123,38.0,D1收盘不强,1,38.99,36.96,close,1,36.96,是,-0.027368,-2.7368
001203.SZ,20260122,31.91,D2收盘转弱,2,33.0,32.42,close,2,32.42,是,0.015982,1.5982
001208.SZ,20260109,31.25,D1收盘不强,1,29.25,31.05,close,1,31.05,是,-0.0064,-0.64
001267.SZ,20260311,48.0,D1收盘不强,1,47.99,46.03,close,1,46.03,是,-0.041042,-4.1042
001339.SZ,20260227,60.0,D3到期收盘,3,63.63,65.27,close,3,65.27,是,0.087833,8.7833
