"# 由 excel_dafengniu_to_manual_csv.py 生成；列：代码,开仓日YYYYMMDD；同代码合并取最早开仓日"
code,open_date
000063.SZ,20251202
000065.SZ,20260325
000066.SZ,20260122
000070.SZ,20251124
000155.SZ,20260403
000426.SZ,20260409
000505.SZ,20251121
000506.SZ,20260127
000510.SZ,20260303
000533.SZ,20260205
000534.SZ,20251107
000539.SZ,20260422
000547.SZ,20251229
000559.SZ,20251226
000572.SZ,20260318
000592.SZ,20251114
000603.SZ,20260126
000617.SZ,20260320
000620.SZ,20251118
000657.SZ,20260417
000681.SZ,20251124
000688.SZ,20251112
000703.SZ,20260324
000751.SZ,20260423
000799.SZ,20260130
000803.SZ,20251110
000818.SZ,20260202
000880.SZ,20260123
000892.SZ,20251124
001203.SZ,20260122
001208.SZ,20260109
001217.SZ,20251106
001267.SZ,20260311
001287.SZ,20260319
001298.SZ,20251113
001332.SZ,20251117
001339.SZ,20260227
002015.SZ,20260313
002025.SZ,20260410
002046.SZ,20251222
002080.SZ,20251114
002109.SZ,20260327
002115.SZ,20260128
002131.SZ,20260112
002149.SZ,20251208
002150.SZ,20260323
002151.SZ,20260107
002153.SZ,20251119
002165.SZ,20260204
002167.SZ,20260305
002192.SZ,20260327
002202.SZ,20251212
002208.SZ,20260121
002218.SZ,20260324
002246.SZ,20251121
002249.SZ,20251127
002290.SZ,20260427
002317.SZ,20251113
002324.SZ,20260421
002326.SZ,20251112
002342.SZ,20251231
002353.SZ,20251204
002361.SZ,20260206
002384.SZ,20260311
002413.SZ,20260107
002414.SZ,20251223
002428.SZ,20260226
002440.SZ,20260129
002446.SZ,20260116
002455.SZ,20260202
002465.SZ,20251230
002478.SZ,20260227
002487.SZ,20260313
002490.SZ,20260424
002491.SZ,20260203
002498.SZ,20260416
002506.SZ,20260304
002544.SZ,20251201
002565.SZ,20251204
002606.SZ,20260203
002624.SZ,20260402
002636.SZ,20251106
002648.SZ,20260309
002728.SZ,20251126
002759.SZ,20251126
002792.SZ,20251128
002805.SZ,20251120
002837.SZ,20251218
002851.SZ,20251225
002865.SZ,20251229
002877.SZ,20260305
002897.SZ,20251110
002943.SZ,20260414
002957.SZ,20260420
002980.SZ,20260414
002995.SZ,20260130
003031.SZ,20251211
300058.SZ,20260113
300179.SZ,20251112
300303.SZ,20260306
300394.SZ,20251210
300548.SZ,20251211
300638.SZ,20251202
300821.SZ,20260408
301123.SZ,20251218
600056.SH,20260407
600078.SH,20260226
600103.SH,20251127
600105.SH,20251126
600118.SH,20260113
600151.SH,20251205
600163.SH,20260326
600188.SH,20260313
600246.SH,20251127
600330.SH,20260410
600339.SH,20260403
600343.SH,20260331
600345.SH,20260105
600391.SH,20260120
600408.SH,20251203
600418.SH,20260428
600478.SH,20251117
600481.SH,20260204
600482.SH,20260309
600498.SH,20260105
600528.SH,20260401
600633.SH,20260427
600635.SH,20260304
600673.SH,20251210
600699.SH,20260422
600726.SH,20260424
600785.SH,20260203
600821.SH,20260309
600855.SH,20260415
600875.SH,20260306
600877.SH,20260128
600879.SH,20251216
600955.SH,20260121
600977.SH,20251201
600986.SH,20260121
600989.SH,20260312
600996.SH,20260320
601069.SH,20260130
601155.SH,20251201
601179.SH,20260306
601208.SH,20251224
601330.SH,20260325
601611.SH,20260316
601698.SH,20260106
601778.SH,20260311
601868.SH,20260312
601869.SH,20251211
601877.SH,20251107
601888.SH,20251111
601975.SH,20260304
603026.SH,20251128
603067.SH,20251208
603093.SH,20260302
603106.SH,20251203
603122.SH,20251209
603124.SH,20260225
603129.SH,20251120
603132.SH,20251118
603163.SH,20251203
603256.SH,20260129
603286.SH,20260120
603305.SH,20260112
603353.SH,20260302
603366.SH,20260316
603477.SH,20260403
603486.SH,20260428
603501.SH,20260428
603529.SH,20260324
603538.SH,20260330
603601.SH,20260226
603626.SH,20251231
603628.SH,20251111
603629.SH,20260326
603630.SH,20260206
603659.SH,20260316
603667.SH,20251209
603698.SH,20251222
603757.SH,20260312
603881.SH,20260209
603920.SH,20251217
603929.SH,20251215
603933.SH,20251205
603986.SH,20251205
605060.SH,20260417
605090.SH,20251225
605136.SH,20251119
605289.SH,20260402
605376.SH,20260120
605389.SH,20260320
605399.SH,20251128
605589.SH,20260407
605598.SH,20251125
688158.SH,20260310
688195.SH,20251125
688205.SH,20251210
