D0_MA10,D0_MA5,D0_开盘,D0_收盘,D1_MA10,D1_MA5,D1_开盘,D1_收盘,D2_MA10,D2_MA5,D2_开盘,D2_收盘,D3_MA10,D3_MA5,D3_开盘,D3_收盘,D4_MA10,D4_MA5,D4_开盘,D4_收盘,D5_MA10,D5_MA5,D5_开盘,D5_收盘,_error,代码,开仓日,D0前收盘,标签_开仓起3交易日皆开盘高于收盘,标签_窗口内最低较前收跌超9pct
41.22,43.43,47.7700,45.5000,41.62,43.90,45.0000,43.3000,42.00,44.02,42.8200,42.9200,42.38,43.99,42.9600,41.9500,42.74,43.18,41.5100,42.2300,42.99,42.55,42.0200,42.3700,,000063.SZ,20251202,46.3000,0,0
13.25,13.26,14.5000,14.1200,13.33,13.55,14.1200,13.8800,13.32,13.78,13.7400,13.7500,13.37,13.96,13.6500,13.8500,13.52,14.03,13.9800,14.5500,13.69,14.12,16.0100,14.5700,,000065.SZ,20260325,14.2200,0,0
16.73,17.26,19.6000,19.5000,17.05,17.61,18.8000,18.2900,17.11,17.81,18.2600,17.2300,17.20,17.98,17.0700,17.0800,17.19,17.74,17.1300,16.6000,17.19,17.12,16.8000,16.4200,,000066.SZ,20260122,17.8200,1,0
9.74,10.02,11.0000,11.5000,10.07,10.66,12.1000,12.6500,10.52,11.60,13.6500,13.9200,11.02,12.59,13.5800,14.4400,11.48,13.30,14.6500,14.0100,11.93,13.84,13.4900,14.1900,,000070.SZ,20251124,10.4500,0,0
15.45,16.30,16.3700,16.1000,15.73,16.12,16.2000,16.2400,15.98,16.27,15.9000,16.6300,16.24,16.62,16.6500,17.1700,16.43,16.55,16.6000,16.6000,16.55,16.79,16.5400,17.3000,,000155.SZ,20260403,16.9700,0,0
40.73,41.22,43.1500,43.5600,41.15,41.89,43.7100,43.3000,41.42,42.55,42.9300,42.7200,41.75,43.35,43.4800,43.6000,42.11,43.41,44.9800,43.8700,42.43,43.65,44.5000,44.7500,,000426.SZ,20260409,43.5600,0,0
7.34,7.56,7.7000,8.1000,7.53,7.86,8.0000,8.9100,7.72,8.19,8.8300,9.0200,7.82,8.37,8.4100,8.1200,7.86,8.34,7.8800,7.5500,7.91,8.27,7.4800,7.7400,,000505.SZ,20251121,7.6900,0,1
18.05,20.66,21.4000,23.5700,19.21,21.98,25.1000,25.9300,20.58,23.79,28.5200,28.5200,21.70,25.02,25.6700,25.6700,22.41,25.36,23.1000,23.1000,22.89,25.11,20.7900,22.3400,,000506.SZ,20260127,21.4300,0,1
18.46,20.21,23.4100,20.9300,18.98,20.52,19.8300,20.2400,19.33,20.78,20.6400,19.8900,19.59,20.74,20.0500,20.1700,19.81,20.09,19.6300,19.2400,19.96,19.71,19.6600,18.9900,,000510.SZ,20260303,22.4500,0,1
9.54,9.93,11.2000,10.7800,9.71,10.51,10.5100,11.2500,9.90,10.96,11.3000,11.5000,10.15,11.24,11.1000,11.5400,10.35,11.20,11.2900,10.9200,10.69,11.44,11.2700,12.0100,,000533.SZ,20260205,11.1500,0,0
18.30,19.68,21.0000,22.5100,18.92,20.66,22.8300,22.5400,19.51,21.49,22.3900,22.8800,19.96,22.02,22.3500,21.5000,20.47,22.32,21.4800,22.1600,20.91,22.15,21.5600,21.6700,,000534.SZ,20251107,20.6900,0,0
,,,,,,,,,,,,,,,,,,,,,,,,short_tail,000539.SZ,20260422,6.3900,0,0
24.30,26.49,29.8000,30.9800,25.01,27.94,32.0100,30.0100,26.21,29.55,30.8900,33.0100,27.37,31.05,33.0100,33.0800,28.55,32.23,32.6500,34.0800,29.93,33.38,33.4000,36.7000,,000547.SZ,20251229,28.1600,0,0
11.93,12.54,13.5000,13.6300,12.21,13.06,13.6300,14.2600,12.66,13.85,13.8800,15.6900,13.25,14.84,16.5900,17.2000,13.83,15.56,16.5000,17.0200,14.49,16.45,16.7100,18.0900,,000559.SZ,20251226,13.4400,0,0
6.42,6.41,6.7800,6.6400,6.41,6.42,6.5400,6.3000,6.35,6.38,6.3200,5.9300,6.33,6.39,5.8300,6.2400,6.31,6.28,6.4600,6.2800,6.31,6.22,6.2700,6.3300,,000572.SZ,20260318,6.8200,1,0
