代码,开仓日,D前1_MA10,D前1_MA5,D前1_开盘,D前1_收盘,D0_MA10,D0_MA5,D0_开盘,D0_收盘,D0_最低,D0_最高,D1_MA10,D1_MA5,D1_开盘,D1_收盘,D1_最低,D1_最高,D2_MA10,D2_MA5,D2_开盘,D2_收盘,D2_最低,D2_最高,D3_MA10,D3_MA5,D3_开盘,D3_收盘,D3_最低,D3_最高,D4_MA10,D4_MA5,D4_开盘,D4_收盘,D4_最低,D4_最高,D5_MA10,D5_MA5,D5_开盘,D5_收盘,D5_最低,D5_最高,D0开盘涨跌%,D1_高收回撤%,D2_高收回撤%,D3_高收回撤%,D4_高收回撤%,D5_高收回撤%,上证_D0_收盘,上证_D0_MA5,上证_D0_MA10,上证_D0破位MA5,上证_D0破位MA10,上证_D前1_收盘,上证_D前1_MA5,上证_D前1_MA10,上证_T-1站上MA5,上证_T-1站上MA10,上证_T-1门控通过,上证_D1_收盘,上证_D1_MA5,上证_D1_MA10,上证_D2_收盘,上证_D2_MA5,上证_D2_MA10,上证_D3_收盘,上证_D3_MA5,上证_D3_MA10,上证_D4_收盘,上证_D4_MA5,上证_D4_MA10,上证_D5_收盘,上证_D5_MA5,上证_D5_MA10,日期对齐说明,_error
001217.SZ,20251106,13.2500,13.7400,13.8500,13.8500,13.3900,13.8800,14.1700,14.0500,14.0200,14.9000,13.55,14.05,14.12,14.11,13.99,14.45,13.66,13.99,14.02,13.92,13.83,14.26,13.8,14.05,13.92,14.31,13.79,14.48,13.96,14.18,14.22,14.49,13.98,14.55,14.09,14.31,14.55,14.73,14.25,15.19,2.3100,2.35,2.38,1.17,0.41,3.03,4007.7599,3973.7000,3980.7200,否,否,3969.2483,3969.5300,3972.1900,否,否,否,3997.5557,3982.25,3985.45,4018.5972,3990.67,3987.61,4002.7576,3999.18,3989.06,4000.1396,4005.36,3987.45,4029.5012,4009.71,3991.71,,
002636.SZ,20251106,14.8600,15.2900,14.1500,15.8500,15.2000,15.7000,15.9600,16.9800,15.6300,17.4200,15.45,15.68,16.48,16.36,16.29,17.37,15.83,16.32,16.4,18.0,16.36,18.0,16.01,16.78,19.44,16.7,16.59,19.44,16.22,17.15,16.61,17.72,16.61,17.78,16.44,17.19,17.59,17.16,17.0,17.65,0.6900,5.81,0.0,14.09,0.34,2.78,4007.7599,3973.7000,3980.7200,否,否,3969.2483,3969.5300,3972.1900,否,否,否,3997.5557,3982.25,3985.45,4018.5972,3990.67,3987.61,4002.7576,3999.18,3989.06,4000.1396,4005.36,3987.45,4029.5012,4009.71,3991.71,,
000534.SZ,20251107,17.6800,18.6300,19.1800,20.6900,18.3000,19.6800,21.0000,22.5100,21.0000,22.7600,18.92,20.66,22.83,22.54,22.0,23.72,19.51,21.49,22.39,22.88,21.59,22.93,19.96,22.02,22.35,21.5,21.09,22.64,20.48,22.32,21.48,22.16,21.47,22.88,20.91,22.15,21.56,21.67,21.08,22.11,1.5000,4.97,0.22,5.04,3.15,1.99,3997.5557,3982.2500,3985.4500,否,否,4007.7599,3973.7000,3980.7200,是,是,是,4018.5972,3990.67,3987.61,4002.7576,3999.18,3989.06,4000.1396,4005.36,3987.45,4029.5012,4009.71,3991.71,3990.4921,4008.3,3995.28,,
601877.SH,20251107,29.3800,29.5300,30.3000,32.5500,29.9900,30.8300,33.0000,35.1800,32.3900,35.8100,30.46,31.91,35.17,33.81,33.1,35.4,30.93,32.88,33.83,33.27,33.03,34.29,31.06,33.32,33.03,31.8,31.27,33.19,31.37,33.21,31.88,32.01,31.65,32.57,31.59,32.35,31.5,30.87,30.85,31.7,1.3800,4.49,2.97,4.19,1.72,2.62,3997.5557,3982.2500,3985.4500,否,否,4007.7599,3973.7000,3980.7200,是,是,是,4018.5972,3990.67,3987.61,4002.7576,3999.18,3989.06,4000.1396,4005.36,3987.45,4029.5012,4009.71,3991.71,3990.4921,4008.3,3995.28,,
000803.SZ,20251110,6.8200,6.9200,6.8500,7.5900,6.9200,7.1100,8.1600,7.6500,7.5300,8.1600,7.04,7.36,7.61,7.93,7.51,8.12,7.22,7.76,7.85,8.72,7.8,8.72,7.41,8.08,8.8,8.5,8.32,9.59,7.53,8.15,8.2,7.94,7.72,8.3,7.65,8.18,7.77,7.82,7.67,7.9,7.5100,2.34,0.0,11.37,4.34,1.01,4018.5972,3990.6700,3987.6100,否,否,3997.5557,3982.2500,3985.4500,是,是,是,4002.7576,3999.18,3989.06,4000.1396,4005.36,3987.45,4029.5012,4009.71,3991.71,3990.4921,4008.3,3995.28,3972.0348,3998.99,3994.83,,
002897.SZ,20251110,47.5200,47.6700,50.5700,52.6000,48.0400,48.7800,56.5400,52.1600,51.2000,56.5400,48.41,49.79,52.77,50.3,49.94,53.0,48.4,50.16,49.51,47.94,47.18,49.9,48.33,50.14,47.51,47.68,47.24,48.38,48.45,49.22,47.42,48.04,46.61,49.38,48.72,48.67,48.95,49.39,48.46,50.88,7.4900,5.09,3.93,1.45,2.71,2.93,4018.5972,3990.6700,3987.6100,否,否,3997.5557,3982.2500,3985.4500,是,是,是,4002.7576,3999.18,3989.06,4000.1396,4005.36,3987.45,4029.5012,4009.71,3991.71,3990.4921,4008.3,3995.28,3972.0348,3998.99,3994.83,,
601888.SH,20251111,75.8500,78.6100,79.0504,86.6165,77.9500,81.6100,88.3709,90.2450,86.2277,93.0960,79.73,83.93,89.6569,88.9292,88.2413,93.5047,81.47,86.95,87.9921,90.235,87.2345,91.1521,82.69,88.81,89.7167,88.0021,87.9423,91.9795,83.8,88.99,87.3242,87.5236,86.3374,89.9161,84.75,87.89,87.1249,84.7723,83.9947,87.6133,2.0300,4.89,1.01,4.32,2.66,3.24,4002.7576,3999.1800,3989.0600,否,否,4018.5972,3990.6700,3987.6100,是,是,是,4000.1396,4005.36,3987.45,4029.5012,4009.71,3991.71,3990.4921,4008.3,3995.28,3972.0348,3998.99,3994.83,3939.8131,3986.4,3992.79,,
603628.SH,20251111,14.1800,14.5200,15.0000,14.6000,14.2900,14.6500,14.7300,14.9200,14.6800,15.1400,14.32,14.57,14.93,14.21,14.13,14.98,14.35,14.56,14.21,14.31,14.21,14.88,14.55,14.76,14.3,15.74,14.15,15.74,14.76,15.0,16.77,15.8,15.74,16.77,14.86,15.07,16.0,15.27,15.16,16.09,0.8900,5.14,3.83,0.0,5.78,5.1,4002.7576,3999.1800,3989.0600,否,否,4018.5972,3990.6700,3987.6100,是,是,是,4000.1396,4005.36,3987.45,4029.5012,4009.71,3991.71,3990.4921,4008.3,3995.28,3972.0348,3998.99,3994.83,3939.8131,3986.4,3992.79,,
000688.SZ,20251112,18.4000,19.6600,20.9433,22.9370,19.0300,20.4900,22.7077,22.0997,21.6311,23.2560,19.74,21.83,22.6678,24.3126,22.5084,24.3126,20.45,23.07,24.9207,25.14,24.4522,26.4857,21.39,24.43,25.9175,27.652,25.8577,27.652,22.46,25.25,29.6456,27.0639,26.2166,30.4132,23.48,26.46,27.6221,28.1504,26.3661,28.888,-1.0000,0.0,5.08,0.0,11.01,2.55,4000.1396,4005.3600,3987.4500,是,否,4002.7576,3999.1800,3989.0600,是,是,是,4029.5012,4009.71,3991.71,3990.4921,4008.3,3995.28,3972.0348,3998.99,3994.83,3939.8131,3986.4,3992.79,3946.7424,3975.72,3990.54,,
002326.SZ,20251112,19.9200,21.2900,22.9500,25.0400,20.8500,23.0500,25.3000,27.2300,25.0500,27.5400,22.01,25.21,28.22,29.95,28.1,29.95,22.89,26.64,29.0,28.21,27.88,29.58,24.12,28.29,28.8,31.03,28.25,31.03,25.17,29.06,32.64,28.87,28.01,33.0,26.33,29.61,29.59,30.0,29.4,30.83,1.0400,0.0,4.63,0.0,12.52,2.69,4000.1396,4005.3600,3987.4500,是,否,4002.7576,3999.1800,3989.0600,是,是,是,4029.5012,4009.71,3991.71,3990.4921,4008.3,3995.28,3972.0348,3998.99,3994.83,3939.8131,3986.4,3992.79,3946.7424,3975.72,3990.54,,
