上榜日,T日,T日对齐说明,股票名称,股票代码,监控日涨幅偏离值,当日是否成功卡异动,累计触发异动次数,T日涨跌幅%,T-1日_开盘,T-1日_收盘,T-1日_最高,T-1日_最低,T-1日_MA3,T-1日_MA5,T-1日_MA8,T-1日_MA10,T日_开盘,T日_收盘,T日_最高,T日_最低,T日_MA3,T日_MA5,T日_MA8,T日_MA10,T+1日_开盘,T+1日_收盘,T+1日_最高,T+1日_最低,T+1日_MA3,T+1日_MA5,T+1日_MA8,T+1日_MA10,T+2日_开盘,T+2日_收盘,T+2日_最高,T+2日_最低,T+2日_MA3,T+2日_MA5,T+2日_MA8,T+2日_MA10,T+3日_开盘,T+3日_收盘,T+3日_最高,T+3日_最低,T+3日_MA3,T+3日_MA5,T+3日_MA8,T+3日_MA10,T+4日_开盘,T+4日_收盘,T+4日_最高,T+4日_最低,T+4日_MA3,T+4日_MA5,T+4日_MA8,T+4日_MA10,T+5日_开盘,T+5日_收盘,T+5日_最高,T+5日_最低,T+5日_MA3,T+5日_MA5,T+5日_MA8,T+5日_MA10,T+6日_开盘,T+6日_收盘,T+6日_最高,T+6日_最低,T+6日_MA3,T+6日_MA5,T+6日_MA8,T+6日_MA10,T+7日_开盘,T+7日_收盘,T+7日_最高,T+7日_最低,T+7日_MA3,T+7日_MA5,T+7日_MA8,T+7日_MA10,T+8日_开盘,T+8日_收盘,T+8日_最高,T+8日_最低,T+8日_MA3,T+8日_MA5,T+8日_MA8,T+8日_MA10,T+9日_开盘,T+9日_收盘,T+9日_最高,T+9日_最低,T+9日_MA3,T+9日_MA5,T+9日_MA8,T+9日_MA10,T+10日_开盘,T+10日_收盘,T+10日_最高,T+10日_最低,T+10日_MA3,T+10日_MA5,T+10日_MA8,T+10日_MA10,上证_T日_收盘,上证_T日_MA5,上证_T日_MA10
2026-06-09,2026-06-09,,宝鼎科技,002552,28,0,,7.0887,54.7,60.66,62.98,54.6,59.33,59.65,58.68,56.81,62.0,64.96,66.68,60.1,61.31,60.48,59.85,58.49,58.58,59.3,65.0,58.57,61.64,60.45,60.05,59.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4010.0307,4027.77,4053.26
2026-06-09,2026-06-09,,节能铁汉,300197,9,1,,-2.649,2.45,3.02,3.02,2.4,2.78,2.69,2.32,2.18,2.91,2.94,3.04,2.79,2.83,2.81,2.49,2.31,2.85,2.73,3.01,2.68,2.9,2.8,2.63,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4010.0307,4027.77,4053.26
2026-06-09,2026-06-09,,红星发展,600367,3,1,,5.1486,48.75,52.83,53.99,48.75,49.77,46.17,41.43,39.14,52.31,55.55,55.58,50.0,52.63,49.51,44.22,41.72,55.1,58.88,59.08,54.23,55.75,52.75,47.57,44.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4010.0307,4027.77,4053.26
2026-06-09,2026-06-09,,长盈通,688143,25,1,,2.7653,165.0,184.79,186.88,163.1,180.7,180.58,174.55,168.93,188.06,189.9,195.0,179.06,183.83,183.56,176.89,173.53,185.0,191.24,206.66,184.0,188.64,184.65,179.67,177.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4010.0307,4027.77,4053.26
2026-06-08,2026-06-08,,宝鼎科技,002552,28,1,,4.0123,58.0,58.32,61.58,57.35,58.93,59.1,57.41,55.13,54.7,60.66,62.98,54.6,59.33,59.65,58.68,56.81,62.0,64.96,66.68,60.1,61.31,60.48,59.85,58.49,58.58,59.3,65.0,58.57,61.64,60.45,60.05,59.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959.3378,4040.79,4066.8
2026-06-08,2026-06-08,,泰坦股份,003036,30,1,,-9.5325,78.0,82.35,82.35,77.13,75.09,72.97,71.49,68.94,81.12,74.5,82.33,74.12,77.24,73.51,72.71,70.8,78.6,81.95,81.95,76.92,79.6,76.34,74.04,72.84,83.42,80.6,83.96,76.21,79.02,78.85,75.24,74.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959.3378,4040.79,4066.8
2026-06-08,2026-06-08,,商洛电子,300975,10,1,,-7.1429,42.14,44.8,45.25,41.9,43.67,42.58,39.68,37.38,43.01,41.6,48.98,41.44,43.3,43.2,40.98,38.8,43.93,45.47,47.99,40.36,43.96,43.61,41.97,40.45,43.0,39.78,43.19,39.2,42.28,43.03,42.47,41.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959.3378,4040.79,4066.8
2026-06-08,2026-06-08,,香江控股,600162,10,1,,7.5581,3.38,3.44,3.5,3.24,3.4,3.27,3.0,2.8,3.44,3.7,3.7,3.2,3.52,3.42,3.17,2.98,3.7,3.66,3.87,3.33,3.6,3.51,3.31,3.13,3.6,3.29,3.8,3.29,3.55,3.5,3.37,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959.3378,4040.79,4066.8
2026-06-08,2026-06-08,,红星发展,600367,10,1,,6.7273,48.65,49.5,51.68,46.12,46.4,42.66,38.6,36.57,48.75,52.83,53.99,48.75,49.77,46.17,41.43,39.14,52.31,55.55,55.58,50.0,52.63,49.51,44.22,41.72,55.1,58.88,59.08,54.23,55.75,52.75,47.57,44.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959.3378,4040.79,4066.8
2026-06-08,2026-06-08,,长盈通,688143,24,1,,4.5192,176.0,176.8,186.96,171.01,181.03,174.28,170.08,165.7,165.0,184.79,186.88,163.1,180.7,180.58,174.55,168.93,188.06,189.9,195.0,179.06,183.83,183.56,176.89,173.53,185.0,191.24,206.66,184.0,188.64,184.65,179.67,177.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959.3378,4040.79,4066.8
