入选日,开仓日,开仓日YYYYMMDD,代码,简称
2025-11-05,2025-11-06,20251106,002636.SZ,金安国纪
2025-11-05,2025-11-06,20251106,001217.SZ,华尔泰
2025-11-06,2025-11-07,20251107,601877.SH,正泰电器
2025-11-06,2025-11-07,20251107,000534.SZ,万泽股份
2025-11-07,2025-11-10,20251110,002897.SZ,意华股份
2025-11-07,2025-11-10,20251110,000803.SZ,山高环能
2025-11-10,2025-11-11,20251111,603628.SH,清源股份
2025-11-10,2025-11-11,20251111,601888.SH,中国中免
2025-11-11,2025-11-12,20251112,300179.SZ,四方达
2025-11-11,2025-11-12,20251112,000688.SZ,国城矿业
2025-11-11,2025-11-12,20251112,002326.SZ,永太科技
2025-11-12,2025-11-13,20251113,002317.SZ,众生药业
2025-11-12,2025-11-13,20251113,001298.SZ,好上好
2025-11-13,2025-11-14,20251114,002080.SZ,中材科技
2025-11-13,2025-11-14,20251114,000592.SZ,平潭发展
2025-11-14,2025-11-17,20251117,600478.SH,科力远
2025-11-14,2025-11-17,20251117,001332.SZ,锡装股份
2025-11-17,2025-11-18,20251118,000620.SZ,盈新发展
2025-11-17,2025-11-18,20251118,603132.SH,金徽股份
2025-11-18,2025-11-19,20251119,002153.SZ,石基信息
2025-11-18,2025-11-19,20251119,605136.SH,丽人丽妆
2025-11-19,2025-11-20,20251120,002805.SZ,丰元股份
2025-11-19,2025-11-20,20251120,603129.SH,春风动力
2025-11-20,2025-11-21,20251121,002246.SZ,北化股份
2025-11-20,2025-11-21,20251121,000505.SZ,京粮控股
2025-11-21,2025-11-24,20251124,000892.SZ,欢瑞世纪
2025-11-21,2025-11-24,20251124,000070.SZ,特发信息
2025-11-21,2025-11-24,20251124,000681.SZ,视觉中国
2025-11-24,2025-11-25,20251125,002153.SZ,石基信息
2025-11-24,2025-11-25,20251125,688195.SH,腾景科技
2025-11-24,2025-11-25,20251125,605598.SH,上海港湾
2025-11-25,2025-11-26,20251126,600105.SH,永鼎股份
2025-11-25,2025-11-26,20251126,002728.SZ,特一药业
2025-11-25,2025-11-26,20251126,002759.SZ,天际股份
2025-11-26,2025-11-27,20251127,002249.SZ,大洋电机
2025-11-26,2025-11-27,20251127,600246.SH,万通发展
2025-11-26,2025-11-27,20251127,600103.SH,青山纸业
2025-11-27,2025-11-28,20251128,603026.SH,石大胜华
2025-11-27,2025-11-28,20251128,605399.SH,晨光新材
2025-11-27,2025-11-28,20251128,002792.SZ,通宇通讯
2025-11-28,2025-12-01,20251201,002544.SZ,普天科技
2025-11-28,2025-12-01,20251201,601155.SH,新城控股
2025-11-28,2025-12-01,20251201,600977.SH,中国电影
2025-12-01,2025-12-02,20251202,300638.SZ,广和通
2025-12-01,2025-12-02,20251202,000063.SZ,中兴通讯
2025-12-01,2025-12-02,20251202,600977.SH,中国电影
2025-12-02,2025-12-03,20251203,603163.SH,圣辉集成
2025-12-02,2025-12-03,20251203,603106.SH,恒银科技
2025-12-02,2025-12-03,20251203,600408.SH,安泰集团
2025-12-03,2025-12-04,20251204,300638.SZ,广和通
2025-12-03,2025-12-04,20251204,002353.SZ,杰瑞股份
2025-12-03,2025-12-04,20251204,002565.SZ,顺灏股份
2025-12-04,2025-12-05,20251205,603986.SH,兆易创新
2025-12-04,2025-12-05,20251205,603933.SH,睿能科技
2025-12-04,2025-12-05,20251205,600151.SH,航天机电
2025-12-05,2025-12-08,20251208,603067.SH,振华股份
2025-12-05,2025-12-08,20251208,002565.SZ,顺灏股份
2025-12-05,2025-12-08,20251208,002149.SZ,西部材料
2025-12-08,2025-12-09,20251209,603667.SH,五洲新春
2025-12-08,2025-12-09,20251209,603122.SH,合富中国
2025-12-08,2025-12-09,20251209,002565.SZ,顺灏股份
2025-12-09,2025-12-10,20251210,300394.SZ,天孚通信
2025-12-09,2025-12-10,20251210,688205.SH,德科立
2025-12-09,2025-12-10,20251210,600673.SH,东阳光
2025-12-10,2025-12-11,20251211,601869.SH,长飞光纤
2025-12-10,2025-12-11,20251211,003031.SZ,中瓷电子
2025-12-10,2025-12-11,20251211,300548.SZ,长芯博创
2025-12-11,2025-12-12,20251212,002544.SZ,普天科技
2025-12-11,2025-12-12,20251212,002202.SZ,金风科技
2025-12-11,2025-12-12,20251212,600105.SH,永鼎股份
2025-12-12,2025-12-15,20251215,002149.SZ,西部材料
2025-12-12,2025-12-15,20251215,603929.SH,亚翔集成
2025-12-12,2025-12-15,20251215,002565.SZ,顺灏股份
2025-12-15,2025-12-16,20251216,600879.SH,航天电子
2025-12-15,2025-12-16,20251216,600151.SH,航天机电
2025-12-15,2025-12-16,20251216,002565.SZ,顺灏股份
2025-12-16,2025-12-17,20251217,600879.SH,航天电子
2025-12-16,2025-12-17,20251217,603920.SH,世运电路
2025-12-16,2025-12-17,20251217,002565.SZ,顺灏股份
2025-12-17,2025-12-18,20251218,002759.SZ,天际股份
2025-12-17,2025-12-18,20251218,301123.SZ,奕东电子
2025-12-17,2025-12-18,20251218,002837.SZ,英维克
2025-12-18,2025-12-19,20251219,002565.SZ,顺灏股份
2025-12-18,2025-12-19,20251219,002149.SZ,西部材料
2025-12-18,2025-12-19,20251219,600151.SH,航天机电
2025-12-19,2025-12-22,20251222,002149.SZ,西部材料
2025-12-19,2025-12-22,20251222,002046.SZ,国机精工
2025-12-19,2025-12-22,20251222,603698.SH,航天工程
2025-12-22,2025-12-23,20251223,002414.SZ,高德红外
2025-12-22,2025-12-23,20251223,601869.SH,长飞光纤
2025-12-22,2025-12-23,20251223,002046.SZ,国机精工
2025-12-23,2025-12-24,20251224,603929.SH,亚翔集成
2025-12-23,2025-12-24,20251224,002759.SZ,天际股份
2025-12-23,2025-12-24,20251224,601208.SH,东材科技
2025-12-24,2025-12-25,20251225,605090.SH,九丰能源
2025-12-24,2025-12-25,20251225,002851.SZ,麦格米特
2025-12-24,2025-12-25,20251225,603698.SH,航天工程
2025-12-25,2025-12-26,20251226,605598.SH,上海港湾
2025-12-25,2025-12-26,20251226,000559.SZ,万向钱潮
2025-12-25,2025-12-26,20251226,603698.SH,航天工程
2025-12-26,2025-12-29,20251229,002759.SZ,天际股份
2025-12-26,2025-12-29,20251229,002865.SZ,钧达股份
2025-12-26,2025-12-29,20251229,000547.SZ,航天发展
2025-12-29,2025-12-30,20251230,002465.SZ,海格通信
2025-12-29,2025-12-30,20251230,002202.SZ,金风科技
2025-12-29,2025-12-30,20251230,000547.SZ,航天发展
2025-12-30,2025-12-31,20251231,002342.SZ,巨力索具
2025-12-30,2025-12-31,20251231,603626.SH,科森科技
2025-12-30,2025-12-31,20251231,603667.SH,五洲新春
2025-12-31,2026-01-05,20260105,600345.SH,长江通信
2025-12-31,2026-01-05,20260105,600498.SH,烽火通信
2025-12-31,2026-01-05,20260105,002565.SZ,顺灏股份
2026-01-05,2026-01-06,20260106,601698.SH,中国卫通
2026-01-05,2026-01-06,20260106,002465.SZ,海格通信
2026-01-05,2026-01-06,20260106,600498.SH,烽火通信
2026-01-06,2026-01-07,20260107,002465.SZ,海格通信
2026-01-06,2026-01-07,20260107,002151.SZ,北斗星通
2026-01-06,2026-01-07,20260107,002413.SZ,雷科防务
2026-01-07,2026-01-08,20260108,002202.SZ,金风科技
2026-01-07,2026-01-08,20260108,002792.SZ,通宇通讯
2026-01-07,2026-01-08,20260108,002413.SZ,雷科防务
2026-01-08,2026-01-09,20260109,002202.SZ,金风科技
2026-01-08,2026-01-09,20260109,002792.SZ,通宇通讯
2026-01-08,2026-01-09,20260109,001208.SZ,华菱线缆
2026-01-09,2026-01-12,20260112,002202.SZ,金风科技
2026-01-09,2026-01-12,20260112,002131.SZ,利欧股份
2026-01-09,2026-01-12,20260112,603305.SH,旭升集团
2026-01-12,2026-01-13,20260113,300058.SZ,蓝色光标
2026-01-12,2026-01-13,20260113,600118.SH,中国卫星
2026-01-12,2026-01-13,20260113,002202.SZ,金风科技
2026-01-13,2026-01-14,20260114,000681.SZ,视觉中国
2026-01-13,2026-01-14,20260114,002131.SZ,利欧股份
2026-01-13,2026-01-14,20260114,000547.SZ,航天发展
2026-01-14,2026-01-15,20260115,002131.SZ,利欧股份
2026-01-14,2026-01-15,20260115,002465.SZ,海格通信
2026-01-14,2026-01-15,20260115,601698.SH,中国卫通
2026-01-15,2026-01-16,20260116,002446.SZ,盛路通信
2026-01-15,2026-01-16,20260116,000681.SZ,视觉中国
2026-01-15,2026-01-16,20260116,601208.SH,东材科技
2026-01-16,2026-01-19,20260119,603698.SH,航天工程
2026-01-16,2026-01-19,20260119,000547.SZ,航天发展
2026-01-16,2026-01-19,20260119,002565.SZ,顺灏股份
2026-01-19,2026-01-20,20260120,605376.SH,博迁新材
2026-01-19,2026-01-20,20260120,603286.SH,日盈电子
2026-01-19,2026-01-20,20260120,600391.SH,航发科技
2026-01-20,2026-01-21,20260121,600986.SH,浙文互联
2026-01-20,2026-01-21,20260121,002208.SZ,合肥城建
2026-01-20,2026-01-21,20260121,600955.SH,维远股份
2026-01-21,2026-01-22,20260122,001203.SZ,大中矿业
2026-01-21,2026-01-22,20260122,000066.SZ,中国长城
2026-01-21,2026-01-22,20260122,002342.SZ,巨力索具
2026-01-22,2026-01-23,20260123,600391.SH,航发科技
2026-01-22,2026-01-23,20260123,002342.SZ,巨力索具
2026-01-22,2026-01-23,20260123,000880.SZ,潍柴重机
2026-01-23,2026-01-26,20260126,002865.SZ,钧达股份
2026-01-23,2026-01-26,20260126,600498.SH,烽火通信
2026-01-23,2026-01-26,20260126,000603.SZ,盛达资源
2026-01-26,2026-01-27,20260127,601869.SH,长飞光纤
2026-01-26,2026-01-27,20260127,000506.SZ,招金黄金
2026-01-26,2026-01-27,20260127,000603.SZ,盛达资源
2026-01-27,2026-01-28,20260128,600877.SH,电科芯片
2026-01-27,2026-01-28,20260128,603929.SH,亚翔集成
2026-01-27,2026-01-28,20260128,002115.SZ,三维通信
2026-01-28,2026-01-29,20260129,000506.SZ,招金黄金
2026-01-28,2026-01-29,20260129,603256.SH,宏和科技
2026-01-28,2026-01-29,20260129,002440.SZ,闰土股份
2026-01-29,2026-01-30,20260130,601069.SH,西部黄金
2026-01-29,2026-01-30,20260130,000799.SZ,酒鬼酒
2026-01-29,2026-01-30,20260130,002995.SZ,天地在线
2026-01-30,2026-02-02,20260202,002455.SZ,百川股份
2026-01-30,2026-02-02,20260202,002149.SZ,西部材料
2026-01-30,2026-02-02,20260202,000818.SZ,航锦科技
2026-02-02,2026-02-03,20260203,002606.SZ,大连电瓷
2026-02-02,2026-02-03,20260203,002491.SZ,通鼎互联
2026-02-02,2026-02-03,20260203,600785.SH,新华百货
2026-02-03,2026-02-04,20260204,002165.SZ,红宝丽
2026-02-03,2026-02-04,20260204,002342.SZ,巨力索具
2026-02-03,2026-02-04,20260204,600481.SH,双良节能
2026-02-04,2026-02-05,20260205,600481.SH,双良节能
2026-02-04,2026-02-05,20260205,002342.SZ,巨力索具
2026-02-04,2026-02-05,20260205,000533.SZ,顺钠股份
2026-02-05,2026-02-06,20260206,603630.SH,拉芳家化
2026-02-05,2026-02-06,20260206,002361.SZ,神剑股份
2026-02-05,2026-02-06,20260206,000592.SZ,平潭发展
2026-02-06,2026-02-09,20260209,002455.SZ,百川股份
2026-02-06,2026-02-09,20260209,603667.SH,五洲新春
2026-02-06,2026-02-09,20260209,603881.SH,数据港
2026-02-24,2026-02-25,20260225,603256.SH,宏和科技
2026-02-24,2026-02-25,20260225,601869.SH,长飞光纤
2026-02-24,2026-02-25,20260225,603124.SH,江南新材
2026-02-25,2026-02-26,20260226,600078.SH,澄星股份
2026-02-25,2026-02-26,20260226,002428.SZ,云南锗业
2026-02-25,2026-02-26,20260226,603601.SH,再升科技
2026-02-26,2026-02-27,20260227,002428.SZ,云南锗业
2026-02-26,2026-02-27,20260227,002478.SZ,常宝股份
2026-02-26,2026-02-27,20260227,001339.SZ,智微智能
2026-02-27,2026-03-02,20260302,603093.SH,南华期货
2026-02-27,2026-03-02,20260302,603353.SH,和顺石油
