轮次,方案标签,止损_sl,止盈_tp,止损_sl_盘中,止盈_tp_盘中,sse_tail_exit,D1_weak,max_day,成交笔数,收益合计_pct,单笔均值_pct,夏普_笔收益,胜率_pct,波动率_笔收益标准差_pct,最大回撤_链式净值_pct,盈亏比_均盈除以均亏绝对值,盈亏比_总盈利除以总亏损绝对值
D,D|开盘SL=-10.0%·TP=8.0%·盘中SL=-10.0%·TP=10.0%·破MA5·D1弱0.5%·D3,-0.1,0.08,-0.1,0.1,ma5,0.005,3,151,332.9561,2.205,0.2907,54.9669,7.5857,28.3732,1.6509,2.1081
D,D|开盘SL=-10.0%·TP=8.0%·盘中SL=-10.0%·TP=6.5%·破MA5·D1弱0.5%·D3,-0.1,0.08,-0.1,0.065,ma5,0.005,3,151,335.2933,2.2205,0.3111,57.6159,7.1368,24.962,1.5207,2.1688
D,D|开盘SL=-10.0%·TP=8.0%·盘中SL=-10.0%·TP=8.0%·破MA5·D1弱0.5%·D3,-0.1,0.08,-0.1,0.08,ma5,0.005,3,151,315.1542,2.0871,0.2848,55.6291,7.3289,24.1291,1.5704,2.0611
D,D|开盘SL=-10.0%·TP=10.0%·盘中SL=-10.0%·TP=10.0%·破MA5·D1弱0.5%·D3,-0.1,0.1,-0.1,0.1,ma5,0.005,3,151,313.5473,2.0765,0.2752,54.3046,7.5466,28.3732,1.6401,2.0377
D,D|开盘SL=-10.0%·TP=10.0%·盘中SL=-10.0%·TP=6.5%·破MA5·D1弱0.5%·D3,-0.1,0.1,-0.1,0.065,ma5,0.005,3,151,316.1008,2.0934,0.2983,57.6159,7.0181,25.9998,1.4737,2.1019
D,D|开盘SL=-10.0%·TP=10.0%·盘中SL=-10.0%·TP=8.0%·破MA5·D1弱0.5%·D3,-0.1,0.1,-0.1,0.08,ma5,0.005,3,151,306.309,2.0285,0.2791,55.6291,7.268,24.1291,1.5477,2.0313
D,D|开盘SL=-10.0%·TP=6.5%·盘中SL=-10.0%·TP=10.0%·破MA5·D1弱0.5%·D3,-0.1,0.065,-0.1,0.1,ma5,0.005,3,151,338.0566,2.2388,0.2958,54.9669,7.5693,27.2915,1.6642,2.1251
D,D|开盘SL=-10.0%·TP=6.5%·盘中SL=-10.0%·TP=6.5%·破MA5·D1弱0.5%·D3,-0.1,0.065,-0.1,0.065,ma5,0.005,3,151,338.7144,2.2431,0.3136,57.6159,7.1523,24.5131,1.529,2.1807
D,D|开盘SL=-10.0%·TP=6.5%·盘中SL=-10.0%·TP=8.0%·破MA5·D1弱0.5%·D3,-0.1,0.065,-0.1,0.08,ma5,0.005,3,151,317.6018,2.1033,0.2874,55.6291,7.3174,24.5131,1.5766,2.0693
D,D|开盘SL=-8.0%·TP=8.0%·盘中SL=-10.0%·TP=6.5%·破MA5·D1弱0.5%·D3,-0.08,0.08,-0.1,0.065,ma5,0.005,3,151,322.6792,2.1369,0.2962,57.6159,7.2156,29.698,1.4566,2.0775
D,D|开盘SL=-8.0%·TP=7.0%·盘中SL=-10.0%·TP=6.5%·破MA5·D1弱0.5%·D3,-0.08,0.07,-0.1,0.065,ma5,0.005,3,151,326.0245,2.1591,0.2986,57.6159,7.2309,29.698,1.4644,2.0886
D,D|开盘SL=-8.0%·TP=6.5%·盘中SL=-10.0%·TP=6.5%·破MA5·D1弱0.5%·D3,-0.08,0.065,-0.1,0.065,ma5,0.005,3,151,326.1003,2.1596,0.2986,57.6159,7.2312,29.698,1.4646,2.0889
D,D|开盘SL=-8.0%·TP=10.0%·盘中SL=-10.0%·TP=6.5%·破MA5·D1弱0.5%·D3,-0.08,0.1,-0.1,0.065,ma5,0.005,3,151,303.4867,2.0098,0.2832,57.6159,7.0968,29.698,1.4117,2.0134
D,D|开盘SL=-8.0%·TP=9.0%·盘中SL=-10.0%·TP=6.5%·破MA5·D1弱0.5%·D3,-0.08,0.09,-0.1,0.065,ma5,0.005,3,151,312.3161,2.0683,0.2887,57.6159,7.1632,29.698,1.4323,2.0429
